Frequency (Hz)	Level (dB)
43.066406	-82.459274
86.132812	-75.107178
129.199219	-76.386513
172.265625	-80.788948
215.332031	-84.232048
258.398438	-88.002777
301.464844	-95.429283
344.531250	-98.018440
387.597656	-97.987808
430.664062	-97.223488
473.730469	-96.787003
516.796875	-97.640846
559.863281	-100.515625
602.929688	-98.696854
645.996094	-97.820129
689.062500	-99.080009
732.128906	-96.259323
775.195312	-92.288139
818.261719	-90.628227
861.328125	-88.748062
904.394531	-86.542313
947.460938	-86.275070
990.527344	-83.073090
1033.593750	-82.643829
1076.660156	-84.445442
1119.726562	-85.977509
1162.792969	-87.344856
1205.859375	-89.069702
1248.925781	-89.102234
1291.992188	-87.054581
1335.058594	-87.859161
1378.125000	-87.791595
1421.191406	-87.313087
1464.257812	-87.633698
1507.324219	-88.144508
1550.390625	-89.078835
1593.457031	-88.078362
1636.523438	-87.889641
1679.589844	-88.273865
1722.656250	-88.896095
1765.722656	-88.553116
1808.789062	-88.181747
1851.855469	-89.630417
1894.921875	-90.789192
1937.988281	-89.706932
1981.054688	-89.197479
2024.121094	-87.996933
2067.187500	-87.247505
2110.253906	-85.449287
2153.320312	-83.284264
2196.386719	-85.933807
2239.453125	-87.044586
2282.519531	-85.717499
2325.585938	-84.613808
2368.652344	-85.145638
2411.718750	-86.565033
2454.785156	-85.837868
2497.851562	-85.081917
2540.917969	-86.579376
2583.984375	-85.290779
2627.050781	-85.091553
2670.117188	-84.534126
2713.183594	-86.032440
2756.250000	-85.658852
2799.316406	-84.125092
2842.382812	-83.687920
2885.449219	-82.873123
2928.515625	-82.014389
2971.582031	-81.779053
3014.648438	-80.249619
3057.714844	-78.751930
3100.781250	-77.254997
3143.847656	-78.100601
3186.914062	-79.044830
3229.980469	-78.390221
3273.046875	-76.230057
3316.113281	-76.501930
3359.179688	-74.826721
3402.246094	-73.493744
3445.312500	-73.080070
3488.378906	-73.092102
3531.445312	-72.640137
3574.511719	-71.573425
3617.578125	-71.812737
3660.644531	-72.072617
3703.710938	-70.609375
3746.777344	-70.389175
3789.843750	-67.788353
3832.910156	-63.925259
3875.976562	-61.805836
3919.042969	-53.296646
3962.109375	-32.165855
4005.175781	-27.765591
4048.242188	-35.377876
4091.308594	-57.133659
4134.375000	-63.359615
4177.441406	-66.749306
4220.507812	-67.821030
4263.574219	-74.111702
4306.640625	-75.786186
4349.707031	-74.628342
4392.773438	-77.410828
4435.839844	-78.066330
4478.906250	-80.036224
4521.972656	-80.368492
4565.039062	-80.388298
4608.105469	-82.403648
4651.171875	-82.492973
4694.238281	-82.917091
4737.304688	-82.863960
4780.371094	-84.658211
4823.437500	-85.471725
4866.503906	-86.292542
4909.570312	-88.875313
4952.636719	-88.324295
4995.703125	-88.962318
5038.769531	-89.460533
5081.835938	-88.424973
5124.902344	-89.625420
5167.968750	-89.176224
5211.035156	-90.670105
5254.101562	-90.365875
5297.167969	-91.105217
5340.234375	-90.755363
5383.300781	-90.290024
5426.367188	-89.898613
