Frequency (Hz)	Level (dB)
10077.539062	-115.407822
10120.605469	-115.244217
10163.671875	-115.762802
10206.738281	-115.814980
10249.804688	-115.577713
10292.871094	-115.846352
10335.937500	-115.742638
10379.003906	-116.368546
10422.070312	-115.930099
10465.136719	-115.668808
10508.203125	-115.714973
10551.269531	-115.735863
10594.335938	-115.638023
10637.402344	-115.649849
10680.468750	-115.878494
10723.535156	-115.704323
10766.601562	-115.771126
10809.667969	-115.547806
10852.734375	-115.271820
10895.800781	-115.891052
10938.867188	-115.836586
10981.933594	-115.671959
11025.000000	-115.462555
11068.066406	-115.702614
11111.132812	-115.587204
11154.199219	-115.457352
11197.265625	-115.395195
11240.332031	-115.940987
11283.398438	-115.676666
11326.464844	-115.922150
11369.531250	-115.853874
11412.597656	-115.373352
11455.664062	-115.242096
11498.730469	-115.733437
11541.796875	-116.070831
11584.863281	-115.595718
11627.929688	-115.925293
11670.996094	-115.897530
11714.062500	-115.404671
11757.128906	-115.613258
11800.195312	-115.309875
11843.261719	-115.600250
11886.328125	-115.599640
11929.394531	-115.970337
11972.460938	-115.929703
12015.527344	-115.762253
12058.593750	-115.765114
12101.660156	-116.072594
12144.726562	-115.595757
12187.792969	-115.295143
12230.859375	-115.393929
12273.925781	-115.176315
12316.992188	-115.738388
12360.058594	-115.548325
12403.125000	-115.807243
12446.191406	-115.530144
12489.257812	-115.634842
12532.324219	-115.128128
12575.390625	-115.272278
12618.457031	-115.265808
12661.523438	-115.412056
12704.589844	-115.602852
12747.656250	-115.353508
12790.722656	-115.896362
12833.789062	-115.584518
12876.855469	-115.502563
12919.921875	-115.695885
12962.988281	-115.336311
13006.054688	-115.751305
13049.121094	-115.515984
13092.187500	-116.033272
13135.253906	-116.315056
13178.320312	-115.935677
13221.386719	-115.883385
13264.453125	-115.630432
13307.519531	-115.616577
13350.585938	-115.554680
13393.652344	-115.699684
13436.718750	-115.440262
13479.785156	-115.598671
13522.851562	-115.181076
13565.917969	-115.523575
13608.984375	-115.804726
13652.050781	-115.364700
13695.117188	-115.564667
13738.183594	-115.820663
13781.250000	-115.311371
13824.316406	-115.474785
13867.382812	-115.578033
13910.449219	-115.405098
13953.515625	-115.656387
13996.582031	-115.598801
14039.648438	-115.515678
14082.714844	-115.699631
14125.781250	-115.669762
14168.847656	-115.503410
14211.914062	-116.023712
14254.980469	-116.018280
14298.046875	-115.520294
14341.113281	-115.665474
14384.179688	-115.435661
14427.246094	-115.944046
14470.312500	-116.211617
14513.378906	-115.914246
14556.445312	-115.741234
14599.511719	-115.836464
14642.578125	-115.733459
14685.644531	-115.490303
14728.710938	-115.604271
14771.777344	-115.477646
14814.843750	-115.705658
14857.910156	-115.553673
14900.976562	-115.445122
14944.042969	-115.417534
14987.109375	-115.539703
15030.175781	-115.529236
15073.242188	-115.957672
15116.308594	-115.830475
15159.375000	-115.714088
15202.441406	-115.649986
15245.507812	-115.218430
15288.574219	-115.225075
15331.640625	-115.556496
15374.707031	-115.468857
15417.773438	-115.331932
15460.839844	-115.569145
15503.906250	-115.456314
15546.972656	-115.858475
15590.039062	-115.647903
15633.105469	-115.819046
15676.171875	-115.663971
15719.238281	-115.652565
15762.304688	-115.738716
15805.371094	-116.176865
15848.437500	-115.697830
15891.503906	-115.505737
15934.570312	-115.563171
15977.636719	-115.586395
16020.703125	-115.302811
16063.769531	-115.416939
16106.835938	-115.562157
16149.902344	-115.479721
16192.968750	-115.465103
16236.035156	-115.685600
16279.101562	-115.963913
16322.167969	-115.475655
16365.234375	-115.499886
16408.300781	-115.628609
16451.367188	-115.812080
16494.433594	-115.964615
16537.500000	-115.894539
16580.566406	-115.590790
16623.632812	-115.828667
16666.699219	-115.893349
16709.765625	-115.565620
16752.832031	-115.819275
16795.898438	-115.673683
16838.964844	-115.475731
16882.031250	-115.856293
16925.097656	-115.868538
16968.164062	-115.509331
17011.230469	-115.539909
17054.296875	-115.793205
17097.363281	-115.913139
17140.429688	-115.897255
17183.496094	-115.533730
17226.562500	-115.602669
17269.628906	-115.603897
17312.695312	-115.756401
17355.761719	-115.487915
17398.828125	-115.553627
17441.894531	-115.847290
17484.960938	-116.143448
17528.027344	-115.796944
17571.093750	-115.711815
17614.160156	-115.811165
17657.226562	-115.685440
17700.292969	-115.671249
17743.359375	-115.689720
17786.425781	-115.942162
17829.492188	-115.426147
17872.558594	-115.472878
17915.625000	-115.534554
17958.691406	-115.696434
18001.757812	-115.732368
18044.824219	-115.727882
18087.890625	-115.307335
18130.957031	-115.620049
18174.023438	-115.504478
18217.089844	-115.421707
18260.156250	-115.771065
18303.222656	-115.528275
18346.289062	-115.733749
18389.355469	-115.705521
18432.421875	-116.030029
18475.488281	-115.572495
18518.554688	-115.908943
18561.621094	-115.625183
18604.687500	-115.548225
18647.753906	-115.659470
18690.820312	-115.619331
18733.886719	-115.584534
18776.953125	-115.371521
18820.019531	-115.379135
18863.085938	-115.699837
18906.152344	-115.496193
18949.218750	-115.695351
18992.285156	-115.760796
19035.351562	-115.457184
19078.417969	-115.755135
19121.484375	-116.141556
19164.550781	-115.919655
19207.617188	-115.801521
19250.683594	-115.815872
19293.750000	-115.807281
19336.816406	-116.019775
19379.882812	-115.956390
19422.949219	-115.801613
19466.015625	-115.599586
19509.082031	-115.550987
19552.148438	-115.666328
19595.214844	-115.695122
19638.281250	-115.708496
19681.347656	-115.797142
19724.414062	-115.659988
19767.480469	-115.657501
19810.546875	-115.420601
19853.613281	-115.375290
19896.679688	-115.301888
19939.746094	-115.679428
19982.812500	-115.814850
20025.878906	-115.468529
20068.945312	-115.332985
20112.011719	-115.468689
20155.078125	-115.577942
20198.144531	-115.630981
20241.210938	-115.651192
20284.277344	-115.572937
20327.343750	-115.327072
20370.410156	-115.788681
20413.476562	-115.841614
20456.542969	-115.839020
20499.609375	-115.975967
20542.675781	-115.567795
20585.742188	-115.711510
20628.808594	-115.503708
20671.875000	-115.281685
20714.941406	-115.576157
20758.007812	-115.573082
20801.074219	-115.495132
20844.140625	-115.346283
20887.207031	-115.600243
20930.273438	-115.313576
20973.339844	-115.646866
21016.406250	-115.658905
21059.472656	-115.243149
21102.539062	-115.752136
21145.605469	-116.143074
21188.671875	-116.075417
21231.738281	-115.755402
21274.804688	-115.532928
21317.871094	-115.359634
21360.937500	-115.589729
21404.003906	-115.384117
21447.070312	-115.688423
21490.136719	-115.600792
21533.203125	-115.809769
21576.269531	-115.517967
21619.335938	-115.928246
21662.402344	-115.890053
21705.468750	-115.976578
21748.535156	-116.029205
21791.601562	-115.793411
21834.667969	-115.586845
21877.734375	-115.946831
21920.800781	-115.761292
21963.867188	-115.594315
22006.933594	-115.565948
