(0.012149902576013349+0j)
(0.004458021967347278+0j)
(-0.040056989875281133+0j)
(-0.04418832385053416+0j)
(0.01426072528380308+0j)
(0.006318070688182623+0j)
(0.00575817932600464+0j)
(-0.01947037159136978+0j)
(0.018133266158328873+0j)
(-0.020086645178298432+0j)
(0.019792545134018992+0j)
(0.0037381410518645044+0j)
(0.0324848681618789+0j)
(-0.020156318621321338+0j)
(-0.008245647537049542+0j)
(0.04950107820597173+0j)
(-0.024744967422017258+0j)
(-0.017469484194264515+0j)
(-0.015758089578249364+0j)
(0.03330305890359612+0j)
(0.023854850901494817+0j)
(-0.016138130962533175+0j)
(-0.008649931562513065+0j)
(0.027144454672212836+0j)
(0.029887093235178505+0j)
(-0.024842933957479822+0j)
(-0.004615783377974024+0j)
(0.027645354980627458+0j)
(0.014667996331641085+0j)
(0.007756481491059291+0j)
(0.018667580014185715+0j)
(0.012613336371940731+0j)
(-0.0075196650614462145+0j)
(0.035727240715351785+0j)
(0.028814381635627884+0j)
(-0.00021526236671007802+0j)
(-0.01234426864571103+0j)
(0.009427615499407759+0j)
(0.02447547886606858+0j)
(-0.01669958309553504+0j)
(0.009436949125174338+0j)
(0.025125143427515866+0j)
(-0.006569318324426036+0j)
(-0.006018127371316965+0j)
(0.03658620661773647+0j)
(-0.026926654900079332+0j)
(0.005567320717695662+0j)
(-0.0025710962566698205+0j)
(0.024908274175663082+0j)
(-0.033303273492899715+0j)
(0.010376568560250968+0j)
(0.025596042091981266+0j)
(-0.0033877281209830686+0j)
(0.025023770878308725+0j)
(-0.0013063556802456232+0j)
(-0.01496249671041102+0j)
(0.0075165027752342965+0j)
(0.020011105744260273+0j)
(0.001668747324185507+0j)
(0.011355137051598255+0j)
(-0.0020497658205275602+0j)
(-0.009641451085180434+0j)
(0.03239690092223763+0j)
(0.0032595385052157+0j)
(0.0009676353145215413+0j)
(-0.003181900712599628+0j)
(-0.012631792271865405+0j)
(-0.008527330779233759+0j)
(0.007726902857040335+0j)
(-0.022018216584712924+0j)
(-0.018308302397447195+0j)
(0.01647431172632926+0j)
(-0.03674469683844035+0j)
(0.00038185612312380615+0j)
(0.014999049836106806+0j)
(-0.0011007906521187123+0j)
(0.005833322399073028+0j)
(0.0021767448703577715+0j)
(-0.018249944862618314+0j)
(0.03197966948897138+0j)
(-0.025518824362169693+0j)
(0.022043848876288505+0j)
(-0.020236062289202546+0j)
(-0.012231877830970586+0j)
(-0.0040224542051547855+0j)
(0.012406860612250726+0j)
(0.005527453045580466+0j)
(0.022753502064926878+0j)
(-0.0056986933997719875+0j)
(0.012739996113327687+0j)
(0.0021431649601461036+0j)
(-0.0046928522865206605+0j)
(-0.017707565732053662+0j)
(0.003355935591683571+0j)
(-0.008820317094486767+0j)
(0.0006537923232402924+0j)
(-0.02327024468841395+0j)
(-0.01981812131255145+0j)
(0.0011531204973665651+0j)
(-0.009447378535394393+0j)
(-0.010895751187139324+0j)
(0.03253117031713108+0j)
(0.0022151050653680202+0j)
(0.011390010238894256+0j)
(-0.020318020266237323+0j)
(0.003489873341034811+0j)
(-0.0005674616479602324+0j)
(0.010561855263725705+0j)
(-0.011825449966207331+0j)
(0.0010601247934128523+0j)
(-0.00817030465984045+0j)
(0.02441531615480308+0j)
(0.020449287649759264+0j)
(-0.0184212569626898+0j)
(0.01584507230481796+0j)
(0.0018845144772874295+0j)
(-0.0001858196778903639+0j)
(-0.01889335086821543+0j)
(0.0364167000979905+0j)
(-0.00045253352519296483+0j)
(0.02569903112972259+0j)
(-0.01125100529969459+0j)
(0.01614900525638192+0j)
(0.01427887827902186+0j)
(-0.028299080867427037+0j)
(0.013067638858702265+0j)
(0.025715204415318826+0j)
(-0.03544887353323742+0j)
(0.0038401047505446243+0j)
(0.03562294028900419+0j)
(0.014812310403002522+0j)
(0.016886922583344094+0j)
(-0.015802018303996898+0j)
(0.0024688496221922504+0j)
(0.049452658901965485+0j)
(0.025059041696671978+0j)
(-0.005310015812997056+0j)
