Frequency (Hz)	Level (dB)
43.066406	-87.908318
86.132812	-79.688499
129.199219	-78.431488
172.265625	-80.556526
215.332031	-84.266769
258.398438	-88.286469
301.464844	-93.999519
344.531250	-97.901688
387.597656	-96.517914
430.664062	-97.367783
473.730469	-95.083397
516.796875	-94.641357
559.863281	-92.631920
602.929688	-93.595299
645.996094	-90.721519
689.062500	-84.593498
732.128906	-83.463036
775.195312	-80.647034
818.261719	-76.411316
861.328125	-75.000694
904.394531	-74.114098
947.460938	-73.461372
990.527344	-71.965454
1033.593750	-70.317749
1076.660156	-71.207008
1119.726562	-70.503868
1162.792969	-68.774643
1205.859375	-68.230286
1248.925781	-68.128906
1291.992188	-66.849968
1335.058594	-63.185085
1378.125000	-59.763298
1421.191406	-49.868748
1464.257812	-26.501688
1507.324219	-22.643335
1550.390625	-30.960758
1593.457031	-55.487133
1636.523438	-63.649685
1679.589844	-68.037086
1722.656250	-71.945412
1765.722656	-74.933304
1808.789062	-76.876602
1851.855469	-77.371574
1894.921875	-77.590408
1937.988281	-78.038017
1981.054688	-78.397385
2024.121094	-80.032097
2067.187500	-79.770668
2110.253906	-80.977837
2153.320312	-82.005577
2196.386719	-79.573921
2239.453125	-81.142113
2282.519531	-79.968224
2325.585938	-79.644012
2368.652344	-82.868889
2411.718750	-85.167572
2454.785156	-85.636932
2497.851562	-86.275909
2540.917969	-86.670868
2583.984375	-86.659157
2627.050781	-86.458595
2670.117188	-86.627373
2713.183594	-87.244370
2756.250000	-88.813835
2799.316406	-89.909866
2842.382812	-91.201584
2885.449219	-91.372978
2928.515625	-87.686165
2971.582031	-72.301376
3014.648438	-70.558830
3057.714844	-80.908287
3100.781250	-87.935333
3143.847656	-89.258339
3186.914062	-89.184204
3229.980469	-88.173264
3273.046875	-88.174995
3316.113281	-90.644714
3359.179688	-92.395103
3402.246094	-90.950180
3445.312500	-88.770058
3488.378906	-90.041946
3531.445312	-89.551247
3574.511719	-89.861862
3617.578125	-89.539169
3660.644531	-90.503342
3703.710938	-91.531693
3746.777344	-90.179420
3789.843750	-90.938950
3832.910156	-92.619652
3875.976562	-94.735924
3919.042969	-94.858139
3962.109375	-93.296150
4005.175781	-93.385712
4048.242188	-92.725792
4091.308594	-93.390648
4134.375000	-92.920059
4177.441406	-90.507294
4220.507812	-87.121155
4263.574219	-91.807144
4306.640625	-93.038704
4349.707031	-92.852577
4392.773438	-91.846558
4435.839844	-86.348915
4478.906250	-74.796646
4521.972656	-75.020668
4565.039062	-88.004089
4608.105469	-95.373886
4651.171875	-99.799713
4694.238281	-100.155151
4737.304688	-99.763550
4780.371094	-99.246658
4823.437500	-100.440369
4866.503906	-101.287003
4909.570312	-101.575417
4952.636719	-104.012360
4995.703125	-104.844902
5038.769531	-103.652550
5081.835938	-102.910599
5124.902344	-101.166946
5167.968750	-100.602356
5211.035156	-101.955719
5254.101562	-102.271095
5297.167969	-101.711533
5340.234375	-102.941139
5383.300781	-105.627678
5426.367188	-103.637978
5469.433594	-102.386551
5512.500000	-104.930740
5555.566406	-105.801559
5598.632812	-103.311104
5641.699219	-103.424500
5684.765625	-105.754402
5727.832031	-107.199272
5770.898438	-106.936852
5813.964844	-105.029762
5857.031250	-104.161301
5900.097656	-102.990967
5943.164062	-102.126801
5986.230469	-101.502647
6029.296875	-103.307602
6072.363281	-103.354904
6115.429688	-102.189186
6158.496094	-102.226151
6201.562500	-104.517204
6244.628906	-105.855049
6287.695312	-105.798164
6330.761719	-106.805367
6373.828125	-107.051567
6416.894531	-106.040825
6459.960938	-106.283882
6503.027344	-105.073639
6546.093750	-106.311378
6589.160156	-106.297394
6632.226562	-99.847321
6675.292969	-98.741562
6718.359375	-100.802094
6761.425781	-102.285057
6804.492188	-101.380379
6847.558594	-101.512177
6890.625000	-101.406609
6933.691406	-99.765747
6976.757812	-100.618317
7019.824219	-103.118393
7062.890625	-102.153442
7105.957031	-99.795708
7149.023438	-99.831139
7192.089844	-103.055222
7235.156250	-102.146095
7278.222656	-100.003418
7321.289062	-99.902382
7364.355469	-95.251038
7407.421875	-90.326324
7450.488281	-91.078278
7493.554688	-84.015404
7536.621094	-87.955490
7579.687500	-100.154350
7622.753906	-100.748367
7665.820312	-96.759270
7708.886719	-96.538200
7751.953125	-101.128822
7795.019531	-102.209770
7838.085938	-100.104347
7881.152344	-99.178345
7924.218750	-103.444374
7967.285156	-103.443520
8010.351562	-103.575615
8053.417969	-105.129082
8096.484375	-104.165146
8139.550781	-102.431046
8182.617188	-106.195229
8225.683594	-107.598953
8268.750000	-106.340775
8311.816406	-104.156174
8354.882812	-107.660255
8397.949219	-110.831863
8441.015625	-107.769997
8484.082031	-99.084785
8527.148438	-100.636795
8570.214844	-108.128723
8613.281250	-108.235504
8656.347656	-113.904419
8699.414062	-114.606697
8742.480469	-114.871796
8785.546875	-115.182114
8828.613281	-115.483246
8871.679688	-115.237465
8914.746094	-115.546722
8957.812500	-115.633232
9000.878906	-115.936546
9043.945312	-116.154205
9087.011719	-115.748016
9130.078125	-115.679665
9173.144531	-115.740631
9216.210938	-115.699585
9259.277344	-115.311882
9302.343750	-115.550926
9345.410156	-116.004814
9388.476562	-116.230270
9431.542969	-115.780365
9474.609375	-115.630875
9517.675781	-115.391006
9560.742188	-115.368561
9603.808594	-115.758949
9646.875000	-116.097313
9689.941406	-115.958672
9733.007812	-115.642418
9776.074219	-115.970345
9819.140625	-115.633492
9862.207031	-115.923180
9905.273438	-115.843452
9948.339844	-115.888512
9991.406250	-115.728432
10034.472656	-115.304932
10077.539062	-115.367096
10120.605469	-115.313538
10163.671875	-115.412628
10206.738281	-115.790657
10249.804688	-116.087212
10292.871094	-115.739059
10335.937500	-115.544876
10379.003906	-115.550453
10422.070312	-115.414001
10465.136719	-115.479706
10508.203125	-115.428329
10551.269531	-115.527267
10594.335938	-115.727249
10637.402344	-115.808380
10680.468750	-115.626450
10723.535156	-115.736374
10766.601562	-115.934128
10809.667969	-116.051666
10852.734375	-115.775604
10895.800781	-115.533134
10938.867188	-115.930901
10981.933594	-115.557983
11025.000000	-115.610901
11068.066406	-115.569252
11111.132812	-115.459831
11154.199219	-115.432121
11197.265625	-115.769958
11240.332031	-115.786552
11283.398438	-115.551826
11326.464844	-115.465248
11369.531250	-115.634254
11412.597656	-115.450554
11455.664062	-115.852715
11498.730469	-115.432526
11541.796875	-115.299225
11584.863281	-115.946808
11627.929688	-115.947784
11670.996094	-115.646057
11714.062500	-115.956245
11757.128906	-115.403099
11800.195312	-115.662827
11843.261719	-115.668015
11886.328125	-115.265419
11929.394531	-115.531929
11972.460938	-115.717567
12015.527344	-116.041740
12058.593750	-115.991791
12101.660156	-115.610771
12144.726562	-115.418999
12187.792969	-115.273102
12230.859375	-115.770119
12273.925781	-115.846283
12316.992188	-115.584641
12360.058594	-115.588768
12403.125000	-115.932068
12446.191406	-116.141472
12489.257812	-115.901962
12532.324219	-115.746918
12575.390625	-115.729744
12618.457031	-116.094482
12661.523438	-115.931801
12704.589844	-115.373192
12747.656250	-115.592491
12790.722656	-115.524216
12833.789062	-115.763481
12876.855469	-116.105553
12919.921875	-115.753967
12962.988281	-115.704308
13006.054688	-115.288445
13049.121094	-115.406685
13092.187500	-115.295258
13135.253906	-115.491318
13178.320312	-115.808655
13221.386719	-115.559586
13264.453125	-115.615578
13307.519531	-115.721611
13350.585938	-115.746338
13393.652344	-115.680573
13436.718750	-115.407455
13479.785156	-115.579712
13522.851562	-115.673431
13565.917969	-115.858574
13608.984375	-115.808029
13652.050781	-115.776855
13695.117188	-115.849045
13738.183594	-115.820869
13781.250000	-115.860130
13824.316406	-116.008736
13867.382812	-115.968063
13910.449219	-115.891014
13953.515625	-115.912842
13996.582031	-115.924255
14039.648438	-115.779907
14082.714844	-115.912186
14125.781250	-116.026566
14168.847656	-115.751793
14211.914062	-115.539314
14254.980469	-115.681053
14298.046875	-115.901115
14341.113281	-115.896004
14384.179688	-115.654404
14427.246094	-115.742981
14470.312500	-115.797935
14513.378906	-115.605164
14556.445312	-115.456322
14599.511719	-115.379745
14642.578125	-115.727898
14685.644531	-115.816978
14728.710938	-115.826874
14771.777344	-115.720680
14814.843750	-115.394089
14857.910156	-115.601143
14900.976562	-115.886711
14944.042969	-115.992317
14987.109375	-116.020813
15030.175781	-116.115799
15073.242188	-116.109756
15116.308594	-115.777802
15159.375000	-115.221863
15202.441406	-115.481567
15245.507812	-115.554962
15288.574219	-115.816566
15331.640625	-115.619583
15374.707031	-115.707253
15417.773438	-116.046951
15460.839844	-115.986053
15503.906250	-115.758667
15546.972656	-115.327232
15590.039062	-115.766243
15633.105469	-115.841141
15676.171875	-115.629318
15719.238281	-115.703812
15762.304688	-115.635727
15805.371094	-115.416969
15848.437500	-115.954315
15891.503906	-115.585068
15934.570312	-115.292252
15977.636719	-115.404991
16020.703125	-115.557663
16063.769531	-115.331192
16106.835938	-115.319283
16149.902344	-115.912422
16192.968750	-115.816315
16236.035156	-115.750107
16279.101562	-115.806961
16322.167969	-115.799805
16365.234375	-115.860146
16408.300781	-115.561539
16451.367188	-115.750435
16494.433594	-115.840187
16537.500000	-115.646774
16580.566406	-115.494370
16623.632812	-115.616417
16666.699219	-115.631889
16709.765625	-115.795204
16752.832031	-115.552734
16795.898438	-115.556221
16838.964844	-115.607323
16882.031250	-115.535110
16925.097656	-115.795151
16968.164062	-115.687729
17011.230469	-115.348068
17054.296875	-115.328957
17097.363281	-115.365089
17140.429688	-115.509842
17183.496094	-115.751152
17226.562500	-115.933197
17269.628906	-115.951622
17312.695312	-115.738182
17355.761719	-115.491158
17398.828125	-115.274475
17441.894531	-115.616623
17484.960938	-115.436234
17528.027344	-115.502991
17571.093750	-115.756279
17614.160156	-115.433380
17657.226562	-115.505096
17700.292969	-115.578682
17743.359375	-115.565582
17786.425781	-115.983391
17829.492188	-115.830170
17872.558594	-115.680634
17915.625000	-115.755394
17958.691406	-115.627922
18001.757812	-115.790535
18044.824219	-115.809509
18087.890625	-115.702805
18130.957031	-115.736664
18174.023438	-115.726166
18217.089844	-115.903290
18260.156250	-115.818680
18303.222656	-115.924408
18346.289062	-115.711563
18389.355469	-115.664238
18432.421875	-115.760368
18475.488281	-115.772346
18518.554688	-115.854965
18561.621094	-115.536324
18604.687500	-115.584152
18647.753906	-115.749100
18690.820312	-115.809959
18733.886719	-115.478065
18776.953125	-115.488152
18820.019531	-115.607635
18863.085938	-115.502747
18906.152344	-115.465683
18949.218750	-115.277061
18992.285156	-115.545883
19035.351562	-115.648308
19078.417969	-115.409149
19121.484375	-115.668991
19164.550781	-115.789177
19207.617188	-115.613548
19250.683594	-115.745117
19293.750000	-115.554352
19336.816406	-115.593086
19379.882812	-115.694130
19422.949219	-115.688042
19466.015625	-115.658653
19509.082031	-115.724533
19552.148438	-115.435204
19595.214844	-115.544434
19638.281250	-115.745323
19681.347656	-115.702385
19724.414062	-115.599228
19767.480469	-115.647736
19810.546875	-115.760612
19853.613281	-115.649773
19896.679688	-115.494667
19939.746094	-115.811119
19982.812500	-115.642525
20025.878906	-115.692665
20068.945312	-115.663582
20112.011719	-115.451614
20155.078125	-116.102028
20198.144531	-115.825142
20241.210938	-115.713692
20284.277344	-115.916397
20327.343750	-115.699585
20370.410156	-115.416954
20413.476562	-115.741425
20456.542969	-115.727081
20499.609375	-115.546188
20542.675781	-115.762207
20585.742188	-115.788185
20628.808594	-116.049591
20671.875000	-115.485680
20714.941406	-115.659866
20758.007812	-116.188095
20801.074219	-115.992607
20844.140625	-115.822647
20887.207031	-115.790108
20930.273438	-115.711105
20973.339844	-115.500282
21016.406250	-115.540794
21059.472656	-115.606728
21102.539062	-115.768852
21145.605469	-115.688950
21188.671875	-115.648216
21231.738281	-115.690002
21274.804688	-115.618927
21317.871094	-115.911461
21360.937500	-115.829895
21404.003906	-115.718224
21447.070312	-115.811600
21490.136719	-115.999771
21533.203125	-115.764374
21576.269531	-115.939583
21619.335938	-115.608627
21662.402344	-115.293411
