Frequency (Hz)	Level (dB)
43.066406	-100.691620
86.132812	-89.770721
129.199219	-85.403572
172.265625	-82.834862
215.332031	-79.674797
258.398438	-80.575806
301.464844	-82.912262
344.531250	-81.326950
387.597656	-72.859222
430.664062	-57.585663
473.730469	-41.254322
516.796875	-39.986473
559.863281	-51.794388
602.929688	-70.273285
645.996094	-79.001404
689.062500	-79.252434
732.128906	-79.494057
775.195312	-83.064026
818.261719	-79.669182
861.328125	-79.488533
904.394531	-80.219124
947.460938	-68.662567
990.527344	-59.824825
1033.593750	-63.075455
1076.660156	-83.149155
1119.726562	-84.721031
1162.792969	-84.189568
1205.859375	-85.228905
1248.925781	-86.465523
1291.992188	-87.883690
1335.058594	-87.221176
1378.125000	-86.800919
1421.191406	-88.327469
1464.257812	-80.844505
1507.324219	-77.784981
1550.390625	-85.117142
1593.457031	-92.155327
1636.523438	-92.488747
1679.589844	-93.627495
1722.656250	-94.497925
1765.722656	-95.571907
1808.789062	-96.974518
1851.855469	-95.593735
1894.921875	-95.500069
1937.988281	-94.758530
1981.054688	-87.524734
2024.121094	-88.499786
2067.187500	-96.699760
2110.253906	-101.035774
2153.320312	-100.797478
2196.386719	-99.211563
2239.453125	-97.472755
2282.519531	-96.869659
2325.585938	-97.307106
2368.652344	-100.755920
2411.718750	-101.892319
2454.785156	-96.884979
2497.851562	-91.790627
2540.917969	-96.091530
2583.984375	-102.770538
2627.050781	-104.523277
2670.117188	-106.555412
2713.183594	-102.863495
2756.250000	-101.200272
2799.316406	-104.385818
2842.382812	-106.607178
2885.449219	-108.522003
2928.515625	-105.532318
2971.582031	-98.635544
3014.648438	-98.968628
3057.714844	-105.471298
3100.781250	-107.442230
3143.847656	-104.548798
3186.914062	-103.429253
3229.980469	-100.293678
3273.046875	-100.362259
3316.113281	-104.213844
3359.179688	-102.898254
3402.246094	-103.317589
3445.312500	-100.394882
3488.378906	-94.024315
3531.445312	-95.873924
3574.511719	-102.858864
3617.578125	-105.129700
3660.644531	-106.910950
3703.710938	-103.859695
3746.777344	-101.462326
3789.843750	-102.278214
3832.910156	-106.116890
3875.976562	-108.268272
3919.042969	-108.573769
3962.109375	-105.400269
4005.175781	-102.414856
4048.242188	-106.131645
4091.308594	-112.093796
4134.375000	-112.941887
4177.441406	-112.392128
4220.507812	-108.270630
4263.574219	-107.241966
4306.640625	-112.276886
4349.707031	-115.166550
4392.773438	-115.371056
4435.839844	-111.513687
4478.906250	-104.459557
4521.972656	-104.929947
4565.039062	-112.829758
4608.105469	-115.330811
4651.171875	-115.599068
4694.238281	-114.443443
4737.304688	-111.948280
4780.371094	-112.913200
4823.437500	-115.174797
4866.503906	-115.097580
4909.570312	-115.238632
4952.636719	-114.797775
4995.703125	-112.596062
5038.769531	-113.896477
5081.835938	-115.209969
5124.902344	-114.772469
5167.968750	-114.944855
5211.035156	-115.347733
5254.101562	-115.171120
5297.167969	-115.287498
5340.234375	-115.055923
5383.300781	-115.552284
5426.367188	-115.190575
5469.433594	-113.847191
5512.500000	-113.379623
5555.566406	-114.941757
5598.632812	-115.038704
5641.699219	-115.153374
5684.765625	-115.466881
5727.832031	-114.707886
5770.898438	-114.728165
5813.964844	-114.978760
