Frequency (Hz)	Level (dB)
43.066406	-27.403755
86.132812	-38.656048
129.199219	-43.199898
172.265625	-43.815144
215.332031	-43.689720
258.398438	-43.288612
301.464844	-41.896111
344.531250	-40.555199
387.597656	-39.956543
430.664062	-40.554771
473.730469	-43.164169
516.796875	-37.729248
559.863281	-35.203850
602.929688	-34.397495
645.996094	-36.412910
689.062500	-39.238899
732.128906	-41.546349
775.195312	-40.443710
818.261719	-40.339897
861.328125	-39.258656
904.394531	-38.208714
947.460938	-36.378937
990.527344	-37.382114
1033.593750	-38.743065
1076.660156	-39.417000
1119.726562	-41.844246
1162.792969	-41.141315
1205.859375	-42.192986
1248.925781	-44.262032
1291.992188	-44.760582
1335.058594	-46.236034
1378.125000	-47.633293
1421.191406	-50.193508
1464.257812	-49.672771
1507.324219	-50.547089
1550.390625	-51.885204
1593.457031	-49.137760
1636.523438	-48.173527
1679.589844	-46.873154
1722.656250	-43.549793
1765.722656	-44.038452
1808.789062	-43.780457
1851.855469	-43.236530
1894.921875	-43.106926
1937.988281	-42.042564
1981.054688	-41.527020
2024.121094	-42.984997
2067.187500	-43.895885
2110.253906	-46.168644
2153.320312	-42.830223
2196.386719	-39.877693
2239.453125	-39.358086
2282.519531	-38.334251
2325.585938	-37.693340
2368.652344	-37.402473
2411.718750	-39.201538
2454.785156	-41.124218
2497.851562	-42.457092
2540.917969	-42.507229
2583.984375	-43.531281
2627.050781	-42.639122
2670.117188	-43.196331
2713.183594	-44.594379
2756.250000	-44.567738
2799.316406	-42.478348
2842.382812	-39.599857
2885.449219	-37.923027
2928.515625	-38.100258
2971.582031	-39.035740
3014.648438	-40.302731
3057.714844	-39.944366
3100.781250	-41.850918
3143.847656	-43.746086
3186.914062	-41.776951
3229.980469	-43.382248
3273.046875	-42.568901
3316.113281	-43.251648
3359.179688	-44.524632
3402.246094	-46.594517
3445.312500	-48.129852
3488.378906	-48.782753
3531.445312	-48.900272
3574.511719	-49.318901
3617.578125	-47.025993
3660.644531	-47.479710
3703.710938	-47.141716
3746.777344	-49.397057
3789.843750	-51.381817
3832.910156	-48.420677
3875.976562	-49.153530
3919.042969	-48.531635
3962.109375	-46.935860
4005.175781	-48.269970
4048.242188	-49.863995
4091.308594	-48.946857
4134.375000	-47.187569
4177.441406	-48.767056
4220.507812	-49.844948
4263.574219	-50.218437
4306.640625	-49.938229
4349.707031	-50.630138
4392.773438	-49.532116
4435.839844	-50.004574
4478.906250	-48.937466
4521.972656	-47.150017
