Frequency (Hz)	Level (dB)
43.066406	-94.683113
86.132812	-85.884384
129.199219	-82.710938
172.265625	-83.494301
215.332031	-87.004501
258.398438	-92.727852
301.464844	-95.678467
344.531250	-95.553391
387.597656	-92.389595
430.664062	-89.678871
473.730469	-88.433167
516.796875	-86.449982
559.863281	-83.067566
602.929688	-82.389206
645.996094	-80.298668
689.062500	-76.823097
732.128906	-74.440109
775.195312	-71.167145
818.261719	-65.600822
861.328125	-60.695011
904.394531	-51.079212
947.460938	-28.363962
990.527344	-19.306902
1033.593750	-22.577250
1076.660156	-44.134510
1119.726562	-56.817829
1162.792969	-62.965435
1205.859375	-67.404388
1248.925781	-69.254051
1291.992188	-70.387909
1335.058594	-71.618095
1378.125000	-72.316696
1421.191406	-74.388504
1464.257812	-75.324409
1507.324219	-75.291084
1550.390625	-78.767860
1593.457031	-80.778862
1636.523438	-79.362755
1679.589844	-81.576706
1722.656250	-82.409882
1765.722656	-84.670715
1808.789062	-84.139549
1851.855469	-83.296455
1894.921875	-78.929916
1937.988281	-63.146851
1981.054688	-50.540108
2024.121094	-51.250824
2067.187500	-66.414139
2110.253906	-81.517380
2153.320312	-86.627235
2196.386719	-87.285744
2239.453125	-87.483231
2282.519531	-87.949486
2325.585938	-87.709274
2368.652344	-88.340919
2411.718750	-88.932663
2454.785156	-89.194580
2497.851562	-89.310341
2540.917969	-89.798584
2583.984375	-89.249893
2627.050781	-87.717621
2670.117188	-87.413353
2713.183594	-88.381142
2756.250000	-88.560364
2799.316406	-85.564537
2842.382812	-83.527679
2885.449219	-80.738892
2928.515625	-72.135918
2971.582031	-55.558578
3014.648438	-53.763214
3057.714844	-64.628120
3100.781250	-82.114960
3143.847656	-86.920601
3186.914062	-87.253983
3229.980469	-86.273972
3273.046875	-87.984421
3316.113281	-87.941727
3359.179688	-87.196236
3402.246094	-87.092422
3445.312500	-89.584488
3488.378906	-88.153625
3531.445312	-87.909874
3574.511719	-88.109016
3617.578125	-86.319977
3660.644531	-87.356560
3703.710938	-86.990196
3746.777344	-85.557770
3789.843750	-87.289177
3832.910156	-87.329376
3875.976562	-86.658920
3919.042969	-86.519730
3962.109375	-72.161362
4005.175781	-67.885315
4048.242188	-75.074860
4091.308594	-83.937317
4134.375000	-84.517120
4177.441406	-87.620651
4220.507812	-87.732109
4263.574219	-84.844078
4306.640625	-84.939308
4349.707031	-87.237358
4392.773438	-87.242577
4435.839844	-82.913536
4478.906250	-84.187698
4521.972656	-84.054794
4565.039062	-85.125977
4608.105469	-85.859283
4651.171875	-87.432892
4694.238281	-84.343353
4737.304688	-84.591415
4780.371094	-85.418007
4823.437500	-85.154564
4866.503906	-84.183548
4909.570312	-84.277443
4952.636719	-79.613594
4995.703125	-73.431351
5038.769531	-77.398903
5081.835938	-86.083282
5124.902344	-87.768250
5167.968750	-86.568924
5211.035156	-87.407417
5254.101562	-91.563263
5297.167969	-90.855362
5340.234375	-90.054359
5383.300781	-91.958000
5426.367188	-92.923218
5469.433594	-93.963776
5512.500000	-96.260109
5555.566406	-100.996208
5598.632812	-99.277718
5641.699219	-97.414452
5684.765625	-94.492645
5727.832031	-94.408981
5770.898438	-94.339714
5813.964844	-95.807541
5857.031250	-94.795853
5900.097656	-93.223434
5943.164062	-82.416328
5986.230469	-72.727287
6029.296875	-74.792366
6072.363281	-89.186195
6115.429688	-95.710655
6158.496094	-97.659248
6201.562500	-95.004311
6244.628906	-94.244453
6287.695312	-95.827812
6330.761719	-97.095467
6373.828125	-98.745964
6416.894531	-100.426590
6459.960938	-101.147926
6503.027344	-100.480774
6546.093750	-97.995285
6589.160156	-98.549522
6632.226562	-97.420563
6675.292969	-97.239700
6718.359375	-97.281456
6761.425781	-98.301491
6804.492188	-98.057449
6847.558594	-98.521179
6890.625000	-97.549637
6933.691406	-92.176430
6976.757812	-79.727478
7019.824219	-79.358940
7062.890625	-90.793259
7105.957031	-98.654373
7149.023438	-100.729485
7192.089844	-101.558754
7235.156250	-102.127960
7278.222656	-102.775566
7321.289062	-103.446877
7364.355469	-102.382492
7407.421875	-103.817322
7450.488281	-104.977867
7493.554688	-105.508072
7536.621094	-105.675674
7579.687500	-105.532745
7622.753906	-105.829109
7665.820312	-104.237122
7708.886719	-105.541924
7751.953125	-107.006409
7795.019531	-105.353958
7838.085938	-106.086227
7881.152344	-105.715851
7924.218750	-102.134766
7967.285156	-85.666046
8010.351562	-82.690742
8053.417969	-91.833412
8096.484375	-106.733078
8139.550781	-109.202225
8182.617188	-109.677124
8225.683594	-110.934341
8268.750000	-112.119270
8311.816406	-111.962036
8354.882812	-112.544754
8397.949219	-113.765823
8441.015625	-114.130081
8484.082031	-114.380569
8527.148438	-114.490219
8570.214844	-114.773888
8613.281250	-114.621796
8656.347656	-114.839981
8699.414062	-115.195282
8742.480469	-115.055161
8785.546875	-115.120392
8828.613281	-115.270470
8871.679688	-115.447372
8914.746094	-115.283569
8957.812500	-113.718407
9000.878906	-111.097015
9043.945312	-113.989189
9087.011719	-115.416824
9130.078125	-115.525070
9173.144531	-115.504616
9216.210938	-115.448425
9259.277344	-115.807297
9302.343750	-115.588615
9345.410156	-115.557281
9388.476562	-115.829849
9431.542969	-115.831245
9474.609375	-115.313515
9517.675781	-115.367416
9560.742188	-115.462845
9603.808594	-115.560349
9646.875000	-115.847527
9689.941406	-115.639427
9733.007812	-115.861748
9776.074219	-115.917252
9819.140625	-115.731606
9862.207031	-115.700386
9905.273438	-115.770737
9948.339844	-115.623405
9991.406250	-115.726357
10034.472656	-115.587029
10077.539062	-115.571243
10120.605469	-115.470879
10163.671875	-115.316849
10206.738281	-115.521080
10249.804688	-115.839149
10292.871094	-115.562431
10335.937500	-115.405594
10379.003906	-115.349174
10422.070312	-115.416595
10465.136719	-115.731712
10508.203125	-115.646034
10551.269531	-115.506325
10594.335938	-115.564087
10637.402344	-115.518158
10680.468750	-115.654503
10723.535156	-115.865456
10766.601562	-115.957603
10809.667969	-115.856598
10852.734375	-115.704468
10895.800781	-115.723579
10938.867188	-115.831535
10981.933594	-115.703659
11025.000000	-115.663544
11068.066406	-115.783768
11111.132812	-115.811676
11154.199219	-115.688545
11197.265625	-115.598618
11240.332031	-115.680672
11283.398438	-115.823273
11326.464844	-115.715439
11369.531250	-115.921227
11412.597656	-116.048500
11455.664062	-116.161644
11498.730469	-115.829788
11541.796875	-115.679543
11584.863281	-115.732964
11627.929688	-115.816208
11670.996094	-115.532097
11714.062500	-115.764618
11757.128906	-115.625511
11800.195312	-115.976021
11843.261719	-116.173691
11886.328125	-115.877777
11929.394531	-115.724075
11972.460938	-115.829147
12015.527344	-115.871719
12058.593750	-115.664131
12101.660156	-115.615219
12144.726562	-115.641548
12187.792969	-115.493889
12230.859375	-115.823746
12273.925781	-115.905304
12316.992188	-115.388046
12360.058594	-115.639252
12403.125000	-115.668472
12446.191406	-115.864685
12489.257812	-115.704010
12532.324219	-115.770180
12575.390625	-115.490158
12618.457031	-115.641968
12661.523438	-115.742470
12704.589844	-115.452728
12747.656250	-115.537445
12790.722656	-115.527161
12833.789062	-115.545929
12876.855469	-115.827950
12919.921875	-115.535881
12962.988281	-115.507668
13006.054688	-115.435265
13049.121094	-115.676399
13092.187500	-115.543419
13135.253906	-115.829903
13178.320312	-115.669266
13221.386719	-115.437614
13264.453125	-115.448578
13307.519531	-115.726151
13350.585938	-115.585365
13393.652344	-115.619797
13436.718750	-115.591919
13479.785156	-115.982391
13522.851562	-115.911957
13565.917969	-115.819305
13608.984375	-115.606346
13652.050781	-115.584732
13695.117188	-115.605850
13738.183594	-115.820953
13781.250000	-115.788895
13824.316406	-115.859779
13867.382812	-115.959938
13910.449219	-115.936745
13953.515625	-115.688507
13996.582031	-115.457123
14039.648438	-115.829964
14082.714844	-116.129837
14125.781250	-115.760170
14168.847656	-115.639458
14211.914062	-115.595757
14254.980469	-115.551895
14298.046875	-116.035576
14341.113281	-116.281029
14384.179688	-116.081215
14427.246094	-115.860634
14470.312500	-115.568970
14513.378906	-115.648109
14556.445312	-115.549637
14599.511719	-115.505463
14642.578125	-115.555008
14685.644531	-115.720001
14728.710938	-115.741570
14771.777344	-115.519341
14814.843750	-115.438057
14857.910156	-115.554092
14900.976562	-115.977249
14944.042969	-115.814499
14987.109375	-115.642563
15030.175781	-115.711571
15073.242188	-115.600861
15116.308594	-115.575020
15159.375000	-115.293533
15202.441406	-115.518295
15245.507812	-115.674896
15288.574219	-115.953362
15331.640625	-115.790764
15374.707031	-115.637245
15417.773438	-115.910896
15460.839844	-115.749802
15503.906250	-115.671806
15546.972656	-115.343788
15590.039062	-115.481888
15633.105469	-115.639961
15676.171875	-115.641136
15719.238281	-115.545013
15762.304688	-115.592239
15805.371094	-115.577629
15848.437500	-115.806046
15891.503906	-115.624466
15934.570312	-115.683266
15977.636719	-115.542076
16020.703125	-115.666260
16063.769531	-115.469727
16106.835938	-115.482613
16149.902344	-115.901688
16192.968750	-115.894150
16236.035156	-115.617760
16279.101562	-115.471481
16322.167969	-115.477425
16365.234375	-115.582039
16408.300781	-115.794724
16451.367188	-115.610909
16494.433594	-115.741608
16537.500000	-115.885468
16580.566406	-115.879677
16623.632812	-115.729485
16666.699219	-115.536972
16709.765625	-115.624786
16752.832031	-115.704193
16795.898438	-115.589073
16838.964844	-115.598724
16882.031250	-115.413864
16925.097656	-115.594048
16968.164062	-115.780357
17011.230469	-115.782974
17054.296875	-115.521797
17097.363281	-115.562698
17140.429688	-115.559082
17183.496094	-115.717888
17226.562500	-115.533424
17269.628906	-115.705948
17312.695312	-115.745270
17355.761719	-115.677284
17398.828125	-115.673515
17441.894531	-115.765930
17484.960938	-115.584633
17528.027344	-115.655106
17571.093750	-115.861824
17614.160156	-115.687927
17657.226562	-115.661598
17700.292969	-115.723900
17743.359375	-115.741524
17786.425781	-115.664268
17829.492188	-115.720802
17872.558594	-115.791489
17915.625000	-116.035454
17958.691406	-115.779411
18001.757812	-115.801224
18044.824219	-115.807106
18087.890625	-115.910576
18130.957031	-115.707375
18174.023438	-115.525055
18217.089844	-115.734665
18260.156250	-115.756126
18303.222656	-115.633827
18346.289062	-115.724213
18389.355469	-115.864342
18432.421875	-115.749313
18475.488281	-115.702896
18518.554688	-115.797218
18561.621094	-115.771103
18604.687500	-115.540337
18647.753906	-115.591324
18690.820312	-115.424469
18733.886719	-115.503624
18776.953125	-115.669365
18820.019531	-115.796509
18863.085938	-115.412422
18906.152344	-115.497650
18949.218750	-115.559258
18992.285156	-115.611168
19035.351562	-115.615631
19078.417969	-115.572960
19121.484375	-115.487595
19164.550781	-115.615501
19207.617188	-115.776039
19250.683594	-115.865715
19293.750000	-115.665062
19336.816406	-115.641525
19379.882812	-115.602028
19422.949219	-115.438469
19466.015625	-115.545624
19509.082031	-115.551048
19552.148438	-115.500175
19595.214844	-115.659790
19638.281250	-115.729668
19681.347656	-115.620140
19724.414062	-115.668541
19767.480469	-115.662766
19810.546875	-115.902008
19853.613281	-115.616325
19896.679688	-115.513657
19939.746094	-115.744560
19982.812500	-115.753296
20025.878906	-115.825638
20068.945312	-115.653091
20112.011719	-115.932594
20155.078125	-116.046211
20198.144531	-115.642509
20241.210938	-115.570236
20284.277344	-115.662247
20327.343750	-115.687065
20370.410156	-115.571838
20413.476562	-115.728508
20456.542969	-115.901520
20499.609375	-115.673828
20542.675781	-115.798859
20585.742188	-115.644188
20628.808594	-115.811569
20671.875000	-115.600479
20714.941406	-115.519775
20758.007812	-115.891891
20801.074219	-115.881027
20844.140625	-115.695335
20887.207031	-115.615875
20930.273438	-115.580994
20973.339844	-115.475044
21016.406250	-115.525864
21059.472656	-115.773994
21102.539062	-115.629585
21145.605469	-115.628510
21188.671875	-115.736008
21231.738281	-115.671661
21274.804688	-115.550087
21317.871094	-115.657890
21360.937500	-115.733788
21404.003906	-115.891014
21447.070312	-115.743584
21490.136719	-115.700409
21533.203125	-115.549797
21576.269531	-115.625450
21619.335938	-115.637146
21662.402344	-115.438644
21705.468750	-115.620506
21748.535156	-115.777855
21791.601562	-115.510727
21834.667969	-115.569710
21877.734375	-115.195503
21920.800781	-115.611961
21963.867188	-115.853088
22006.933594	-115.566490
