Frequency (Hz)	Level (dB)
43.066406	-80.578003
86.132812	-69.418289
129.199219	-57.794773
172.265625	-55.694077
215.332031	-63.953400
258.398438	-66.910126
301.464844	-62.350300
344.531250	-64.386215
387.597656	-71.580574
430.664062	-66.814430
473.730469	-64.793648
516.796875	-67.863884
559.863281	-69.208916
602.929688	-63.100803
645.996094	-64.211594
689.062500	-71.461212
732.128906	-72.940536
775.195312	-74.266472
818.261719	-71.851097
861.328125	-69.869179
904.394531	-72.416161
947.460938	-72.317558
990.527344	-70.464912
1033.593750	-71.588509
1076.660156	-71.431396
1119.726562	-69.247810
1162.792969	-67.040649
1205.859375	-63.381187
1248.925781	-62.561157
1291.992188	-65.277367
1335.058594	-71.525948
1378.125000	-72.538162
1421.191406	-72.788940
1464.257812	-74.066238
1507.324219	-75.476532
1550.390625	-76.474327
1593.457031	-76.138786
1636.523438	-76.004784
1679.589844	-78.129356
1722.656250	-80.104973
1765.722656	-78.731255
1808.789062	-77.783737
1851.855469	-80.526680
1894.921875	-82.057922
1937.988281	-81.832428
1981.054688	-81.531517
2024.121094	-80.647644
2067.187500	-78.404030
2110.253906	-79.911072
2153.320312	-80.922714
2196.386719	-79.208679
2239.453125	-78.535294
2282.519531	-78.449005
2325.585938	-79.027931
2368.652344	-79.262360
2411.718750	-79.355530
2454.785156	-78.524330
2497.851562	-77.831764
2540.917969	-78.125420
2583.984375	-77.180687
2627.050781	-75.935806
2670.117188	-75.103317
2713.183594	-73.833817
2756.250000	-73.057663
2799.316406	-70.498642
2842.382812	-67.398430
2885.449219	-59.297779
2928.515625	-44.986546
2971.582031	-27.293650
3014.648438	-25.448135
3057.714844	-36.392361
3100.781250	-55.605667
3143.847656	-63.213768
3186.914062	-66.991699
3229.980469	-69.559448
3273.046875	-71.442566
3316.113281	-73.845787
3359.179688	-73.970322
3402.246094	-73.970818
3445.312500	-74.842270
3488.378906	-74.314407
3531.445312	-74.701744
3574.511719	-74.709305
3617.578125	-74.850456
3660.644531	-74.842773
3703.710938	-75.511040
3746.777344	-76.085327
3789.843750	-77.183929
3832.910156	-78.679855
3875.976562	-79.175690
3919.042969	-79.356583
3962.109375	-79.700325
4005.175781	-80.768257
4048.242188	-80.586250
4091.308594	-81.170074
4134.375000	-81.806541
4177.441406	-82.170097
4220.507812	-83.208763
4263.574219	-83.399101
4306.640625	-84.518639
4349.707031	-85.621941
4392.773438	-85.411919
4435.839844	-85.549316
4478.906250	-86.718758
4521.972656	-87.712570
4565.039062	-87.994972
4608.105469	-88.985123
4651.171875	-89.866974
4694.238281	-90.638557
4737.304688	-90.677132
4780.371094	-90.970551
4823.437500	-91.676300
4866.503906	-91.717239
4909.570312	-91.142059
4952.636719	-91.840492
4995.703125	-92.111519
5038.769531	-91.497772
5081.835938	-92.116722
5124.902344	-92.302864
5167.968750	-92.659309
5211.035156	-91.158585
5254.101562	-91.434441
5297.167969	-92.174019
5340.234375	-91.953476
5383.300781	-91.304817
5426.367188	-91.096825
5469.433594	-91.148254
5512.500000	-91.419281
5555.566406	-91.362129
5598.632812	-92.242882
5641.699219	-93.434273
5684.765625	-92.089569
5727.832031	-91.162071
5770.898438	-93.176071
5813.964844	-91.574608
5857.031250	-91.401062
5900.097656	-92.463745
5943.164062	-89.218208
5986.230469	-80.352493
6029.296875	-82.122002
6072.363281	-92.467934
6115.429688	-93.584671
6158.496094	-93.943481
6201.562500	-94.608612
6244.628906	-95.047035
6287.695312	-96.195457
6330.761719	-97.350601
6373.828125	-96.948189
6416.894531	-99.243530
6459.960938	-99.771736
6503.027344	-98.114471
6546.093750	-98.212410
6589.160156	-97.665672
6632.226562	-96.033310
6675.292969	-95.380760
6718.359375	-95.781425
6761.425781	-95.650208
6804.492188	-95.801102
6847.558594	-95.817268
6890.625000	-95.603813
6933.691406	-94.318520
6976.757812	-93.927788
7019.824219	-93.091904
7062.890625	-91.211823
7105.957031	-89.801804
7149.023438	-89.424263
7192.089844	-90.964661
7235.156250	-92.552795
7278.222656	-93.051880
7321.289062	-93.992531
7364.355469	-95.229797
7407.421875	-96.724403
7450.488281	-97.057228
7493.554688	-98.077461
7536.621094	-99.141220
7579.687500	-99.581573
7622.753906	-100.634712
7665.820312	-102.406418
7708.886719	-103.373123
7751.953125	-103.871864
7795.019531	-105.393570
7838.085938	-106.612236
7881.152344	-106.748360
7924.218750	-107.151787
7967.285156	-107.813492
8010.351562	-108.052376
8053.417969	-108.965096
8096.484375	-108.963417
8139.550781	-109.863968
8182.617188	-110.326691
8225.683594	-109.991707
8268.750000	-109.838890
8311.816406	-110.521965
8354.882812	-110.188828
8397.949219	-110.292732
8441.015625	-110.652832
8484.082031	-111.164490
8527.148438	-110.937523
8570.214844	-111.867630
8613.281250	-112.337967
8656.347656	-112.155556
8699.414062	-112.389084
8742.480469	-112.734779
8785.546875	-113.120621
8828.613281	-113.189232
8871.679688	-113.615639
8914.746094	-114.355247
8957.812500	-114.872131
9000.878906	-115.708130
9043.945312	-115.817383
9087.011719	-115.613457
9130.078125	-115.758316
9173.144531	-115.712883
9216.210938	-115.565590
9259.277344	-115.788864
9302.343750	-115.756920
9345.410156	-115.691589
9388.476562	-115.735687
9431.542969	-115.777786
9474.609375	-115.609879
9517.675781	-115.758171
9560.742188	-115.413734
9603.808594	-115.577057
9646.875000	-115.813293
9689.941406	-115.810493
9733.007812	-115.920563
9776.074219	-116.023209
9819.140625	-115.825432
9862.207031	-115.876450
9905.273438	-115.733070
9948.339844	-115.664162
9991.406250	-115.653503
10034.472656	-115.456841
10077.539062	-115.367851
10120.605469	-115.168404
10163.671875	-115.190285
10206.738281	-115.840012
10249.804688	-116.050217
10292.871094	-115.847923
10335.937500	-115.564705
10379.003906	-115.508942
10422.070312	-115.837219
10465.136719	-115.917900
10508.203125	-115.794579
10551.269531	-115.612434
10594.335938	-115.461960
10637.402344	-115.634331
10680.468750	-115.665474
10723.535156	-115.672386
10766.601562	-115.672913
10809.667969	-115.920174
10852.734375	-115.690598
10895.800781	-115.651932
10938.867188	-115.628967
10981.933594	-115.696022
11025.000000	-115.562714
11068.066406	-115.499275
11111.132812	-115.619705
11154.199219	-115.517845
11197.265625	-115.680473
11240.332031	-115.670570
11283.398438	-115.539146
11326.464844	-115.659447
11369.531250	-115.808922
11412.597656	-116.030159
11455.664062	-116.024498
11498.730469	-115.702507
11541.796875	-115.628609
11584.863281	-115.764748
11627.929688	-115.850189
11670.996094	-115.824181
11714.062500	-115.739128
11757.128906	-115.608528
11800.195312	-115.819412
11843.261719	-115.752487
11886.328125	-115.750877
11929.394531	-115.531105
11972.460938	-115.635078
12015.527344	-115.717873
12058.593750	-115.817688
12101.660156	-115.758286
12144.726562	-115.527840
12187.792969	-115.389427
12230.859375	-115.796631
12273.925781	-116.019501
12316.992188	-115.601921
