Frequency (Hz)	Level (dB)
10077.539062	-115.644722
10120.605469	-115.470367
10163.671875	-115.413284
10206.738281	-115.843460
10249.804688	-115.929710
10292.871094	-115.745422
10335.937500	-115.487976
10379.003906	-115.819588
10422.070312	-115.716377
10465.136719	-115.599220
10508.203125	-115.325226
10551.269531	-115.465607
10594.335938	-115.476761
10637.402344	-115.598793
10680.468750	-115.822777
10723.535156	-115.706841
10766.601562	-115.906197
10809.667969	-115.665512
10852.734375	-115.400330
10895.800781	-115.675438
10938.867188	-116.005104
10981.933594	-115.818550
11025.000000	-115.631493
11068.066406	-115.679108
11111.132812	-115.604782
11154.199219	-115.504440
11197.265625	-115.523178
11240.332031	-115.612068
11283.398438	-115.460602
11326.464844	-115.635368
11369.531250	-115.769135
11412.597656	-115.663445
11455.664062	-115.717812
11498.730469	-115.725761
11541.796875	-115.690147
11584.863281	-115.599541
11627.929688	-115.723763
11670.996094	-115.663666
11714.062500	-115.622757
11757.128906	-115.312744
11800.195312	-115.627365
11843.261719	-115.491264
11886.328125	-115.457718
11929.394531	-115.742210
11972.460938	-115.539383
12015.527344	-115.664444
12058.593750	-115.803200
12101.660156	-115.860039
12144.726562	-115.762794
12187.792969	-115.882759
12230.859375	-115.798042
12273.925781	-115.773697
12316.992188	-115.824387
12360.058594	-115.580353
12403.125000	-115.900276
12446.191406	-115.819191
12489.257812	-115.837074
12532.324219	-115.853127
12575.390625	-115.729408
12618.457031	-115.535210
12661.523438	-115.576187
12704.589844	-115.545013
12747.656250	-115.485764
12790.722656	-115.619553
12833.789062	-115.688553
12876.855469	-115.798767
12919.921875	-115.575005
12962.988281	-115.432808
13006.054688	-115.437050
13049.121094	-115.362144
13092.187500	-115.647903
13135.253906	-115.620003
13178.320312	-115.662430
13221.386719	-115.625107
13264.453125	-115.673851
13307.519531	-115.777962
13350.585938	-115.710983
13393.652344	-115.609230
13436.718750	-115.346786
13479.785156	-115.524376
13522.851562	-115.644165
13565.917969	-115.910774
13608.984375	-115.838570
13652.050781	-115.730492
13695.117188	-115.778557
13738.183594	-115.841782
13781.250000	-115.585556
13824.316406	-115.643150
13867.382812	-115.634621
13910.449219	-115.652634
13953.515625	-115.647972
13996.582031	-115.709785
14039.648438	-115.719864
14082.714844	-115.817703
14125.781250	-116.055092
14168.847656	-115.853119
14211.914062	-115.621986
14254.980469	-115.725517
14298.046875	-115.690674
14341.113281	-115.803810
14384.179688	-115.576958
14427.246094	-115.928925
14470.312500	-115.882950
14513.378906	-115.764694
14556.445312	-115.409691
14599.511719	-115.299889
14642.578125	-115.988899
14685.644531	-115.909248
14728.710938	-115.847885
14771.777344	-115.600891
14814.843750	-115.290413
14857.910156	-115.409599
14900.976562	-115.561562
14944.042969	-115.710899
14987.109375	-115.667961
15030.175781	-115.910530
15073.242188	-115.933533
15116.308594	-115.795013
15159.375000	-115.592789
15202.441406	-115.534996
15245.507812	-115.264526
15288.574219	-115.442276
15331.640625	-115.531181
15374.707031	-115.447021
15417.773438	-115.712891
15460.839844	-115.627907
15503.906250	-115.506050
15546.972656	-115.477089
15590.039062	-115.870262
15633.105469	-116.021805
15676.171875	-115.826866
