Frequency (Hz)	Level (dB)
43.066406	-90.794289
86.132812	-80.651413
129.199219	-77.849152
172.265625	-80.471382
215.332031	-82.108597
258.398438	-73.209663
301.464844	-68.352486
344.531250	-73.992317
387.597656	-84.107666
430.664062	-79.774529
473.730469	-80.159027
516.796875	-83.327713
559.863281	-83.441429
602.929688	-82.162041
645.996094	-83.048912
689.062500	-83.155159
732.128906	-83.042877
775.195312	-80.659752
818.261719	-77.157990
861.328125	-77.251244
904.394531	-76.854134
947.460938	-77.122658
990.527344	-77.786903
1033.593750	-77.436699
1076.660156	-80.568062
1119.726562	-82.903145
1162.792969	-84.483147
1205.859375	-85.145134
1248.925781	-86.411423
1291.992188	-87.370583
1335.058594	-86.558342
1378.125000	-85.763313
1421.191406	-88.095093
1464.257812	-88.937202
1507.324219	-88.712677
1550.390625	-91.739830
1593.457031	-92.971672
1636.523438	-91.602440
1679.589844	-94.535881
1722.656250	-94.867638
1765.722656	-97.168571
1808.789062	-98.705345
1851.855469	-98.693611
1894.921875	-97.290817
1937.988281	-96.654984
1981.054688	-97.576324
2024.121094	-98.592110
2067.187500	-94.313019
2110.253906	-94.977165
2153.320312	-95.662163
2196.386719	-95.192627
2239.453125	-95.547134
2282.519531	-95.944542
2325.585938	-95.867241
2368.652344	-97.485283
2411.718750	-97.818176
2454.785156	-96.605003
2497.851562	-93.901604
2540.917969	-93.055199
2583.984375	-97.002174
2627.050781	-98.116257
2670.117188	-96.372826
2713.183594	-95.422951
2756.250000	-97.919044
2799.316406	-99.270164
2842.382812	-97.686165
2885.449219	-97.384483
2928.515625	-97.486893
2971.582031	-95.514641
3014.648438	-95.431244
3057.714844	-98.018242
3100.781250	-99.526131
3143.847656	-101.682320
3186.914062	-99.267929
3229.980469	-99.329666
3273.046875	-100.942879
3316.113281	-105.435402
3359.179688	-107.244064
3402.246094	-105.755119
3445.312500	-104.461464
3488.378906	-104.821281
3531.445312	-104.910233
3574.511719	-106.078079
3617.578125	-105.249504
3660.644531	-102.929810
3703.710938	-100.410385
3746.777344	-99.773567
3789.843750	-101.061722
3832.910156	-106.266792
3875.976562	-105.322510
3919.042969	-104.962494
3962.109375	-106.748589
4005.175781	-107.471069
4048.242188	-109.207954
4091.308594	-110.911224
4134.375000	-110.307541
4177.441406	-112.670631
4220.507812	-113.947090
4263.574219	-111.674881
4306.640625	-109.156456
4349.707031	-106.505905
4392.773438	-108.447884
4435.839844	-107.186424
4478.906250	-108.556519
4521.972656	-113.896255
4565.039062	-114.239807
4608.105469	-114.527718
4651.171875	-115.037636
4694.238281	-115.537476
4737.304688	-115.768585
4780.371094	-115.759697
4823.437500	-115.079620
4866.503906	-115.309067
4909.570312	-115.555962
4952.636719	-115.556396
4995.703125	-115.237541
5038.769531	-115.327675
5081.835938	-115.120087
5124.902344	-114.754852
5167.968750	-115.167183
5211.035156	-113.901451
5254.101562	-110.937210
5297.167969	-112.084351
5340.234375	-111.837723
5383.300781	-109.942627
5426.367188	-111.805771
5469.433594	-113.969116
5512.500000	-112.052513
5555.566406	-111.376572
5598.632812	-110.388664
5641.699219	-108.122536
5684.765625	-107.731300
5727.832031	-108.109070
5770.898438	-107.245796
5813.964844	-107.640556
5857.031250	-109.207611
5900.097656	-109.317085
5943.164062	-107.182808
5986.230469	-106.993706
6029.296875	-108.110947
6072.363281	-109.166412
6115.429688	-106.273941
6158.496094	-103.075111
6201.562500	-103.116089
6244.628906	-107.211632
6287.695312	-108.641945
6330.761719	-105.796333
6373.828125	-107.617455
6416.894531	-109.970558
6459.960938	-110.688004
6503.027344	-110.644745
6546.093750	-110.016838
6589.160156	-112.735992
6632.226562	-114.553917
6675.292969	-115.445457
6718.359375	-115.223259
6761.425781	-114.862305
6804.492188	-115.143990
6847.558594	-115.147392
6890.625000	-115.204910
6933.691406	-115.635406
6976.757812	-115.802887
7019.824219	-115.238342
7062.890625	-114.873558
7105.957031	-115.316063
7149.023438	-115.167610
7192.089844	-115.525978
7235.156250	-115.626907
7278.222656	-115.758797
7321.289062	-116.245750
7364.355469	-115.631538
7407.421875	-115.338295
7450.488281	-115.594666
7493.554688	-115.708031
7536.621094	-116.196465
7579.687500	-116.040230
7622.753906	-115.599045
7665.820312	-115.363655
7708.886719	-115.570694
7751.953125	-115.561867
7795.019531	-115.826973
7838.085938	-115.674637
7881.152344	-115.236641
7924.218750	-115.367905
7967.285156	-115.282036
8010.351562	-115.391182
8053.417969	-115.303421
8096.484375	-115.289581
8139.550781	-115.656563
8182.617188	-116.264168
8225.683594	-116.078110
8268.750000	-116.024841
8311.816406	-115.527328
8354.882812	-115.126938
8397.949219	-115.458862
8441.015625	-116.252014
8484.082031	-115.971344
8527.148438	-116.071739
8570.214844	-115.612968
8613.281250	-115.620621
8656.347656	-115.819489
8699.414062	-116.429520
8742.480469	-115.767159
8785.546875	-115.437225
8828.613281	-115.308548
8871.679688	-115.175705
8914.746094	-115.370094
8957.812500	-115.323250
9000.878906	-116.101784
9043.945312	-116.233170
9087.011719	-115.808868
9130.078125	-115.899750
9173.144531	-115.617638
9216.210938	-115.387032
9259.277344	-115.721420
9302.343750	-116.036911
9345.410156	-116.027275
9388.476562	-115.813217
9431.542969	-115.803154
9474.609375	-115.821228
9517.675781	-115.981117
9560.742188	-115.309128
9603.808594	-115.571022
9646.875000	-115.735603
9689.941406	-115.915268
9733.007812	-116.339668
9776.074219	-116.031601
9819.140625	-116.029358
9862.207031	-115.840500
9905.273438	-115.315231
9948.339844	-115.350594
9991.406250	-115.440628
10034.472656	-115.516968
10077.539062	-115.102898
10120.605469	-115.111702
10163.671875	-115.391487
10206.738281	-115.815742
10249.804688	-116.078636
10292.871094	-115.912415
10335.937500	-115.722824
10379.003906	-115.570129
10422.070312	-115.688728
10465.136719	-115.897934
10508.203125	-115.854019
10551.269531	-115.833015
10594.335938	-115.831200
10637.402344	-116.012856
10680.468750	-115.735497
10723.535156	-115.765541
10766.601562	-115.663559
10809.667969	-115.624672
10852.734375	-115.404816
10895.800781	-115.912926
10938.867188	-115.995239
10981.933594	-116.000130
11025.000000	-115.777931
11068.066406	-115.620651
11111.132812	-115.403137
11154.199219	-115.423897
11197.265625	-115.606392
11240.332031	-115.683990
11283.398438	-115.788994
11326.464844	-115.648834
11369.531250	-115.634171
11412.597656	-115.834526
11455.664062	-115.854752
11498.730469	-116.225716
11541.796875	-116.048409
11584.863281	-115.933578
11627.929688	-116.240547
11670.996094	-116.411148
11714.062500	-115.595978
11757.128906	-115.614777
11800.195312	-115.826492
11843.261719	-115.946136
11886.328125	-115.992485
11929.394531	-115.972511
11972.460938	-115.585365
12015.527344	-115.827438
12058.593750	-115.772285
12101.660156	-115.650116
12144.726562	-115.606071
12187.792969	-115.134514
12230.859375	-115.518105
12273.925781	-116.203011
12316.992188	-115.779610
12360.058594	-115.487083
12403.125000	-115.873878
12446.191406	-115.824112
12489.257812	-116.014076
12532.324219	-115.973648
12575.390625	-115.823128
12618.457031	-115.395493
12661.523438	-115.490013
12704.589844	-115.559097
12747.656250	-115.401894
12790.722656	-115.687286
12833.789062	-115.976723
12876.855469	-115.946526
12919.921875	-115.611267
12962.988281	-115.756821
13006.054688	-115.685020
13049.121094	-115.324471
13092.187500	-115.819595
13135.253906	-115.976555
13178.320312	-115.745651
13221.386719	-115.789505
13264.453125	-115.658142
13307.519531	-115.344673
13350.585938	-115.260254
13393.652344	-115.799149
13436.718750	-115.972031
13479.785156	-115.792999
13522.851562	-116.174438
13565.917969	-116.202003
13608.984375	-116.062195
13652.050781	-115.572395
13695.117188	-115.385315
13738.183594	-115.929039
13781.250000	-115.843338
13824.316406	-115.675804
13867.382812	-115.683762
13910.449219	-115.869873
13953.515625	-115.926155
13996.582031	-115.879707
14039.648438	-116.216972
14082.714844	-115.840416
14125.781250	-115.823845
14168.847656	-115.883827
14211.914062	-116.096909
14254.980469	-115.518677
14298.046875	-115.645813
14341.113281	-115.966431
14384.179688	-115.712173
14427.246094	-115.746918
14470.312500	-115.633095
14513.378906	-115.788177
14556.445312	-115.768227
14599.511719	-115.610291
14642.578125	-115.607018
14685.644531	-115.807388
14728.710938	-115.818085
14771.777344	-115.469307
14814.843750	-115.485939
14857.910156	-115.591362
14900.976562	-115.643372
14944.042969	-115.655190
14987.109375	-116.162262
15030.175781	-116.062599
15073.242188	-115.796448
15116.308594	-115.860626
15159.375000	-115.544151
15202.441406	-115.731796
15245.507812	-115.658035
15288.574219	-115.560585
15331.640625	-115.815750
15374.707031	-115.816719
15417.773438	-115.706673
15460.839844	-116.175102
15503.906250	-115.839821
15546.972656	-115.459412
15590.039062	-115.323341
15633.105469	-115.662682
15676.171875	-115.628326
15719.238281	-115.349251
15762.304688	-115.325600
15805.371094	-115.562614
15848.437500	-115.811577
15891.503906	-115.799500
15934.570312	-115.276581
15977.636719	-115.477539
16020.703125	-115.838066
16063.769531	-115.843506
16106.835938	-115.722916
16149.902344	-115.615112
16192.968750	-115.786385
16236.035156	-115.706879
16279.101562	-115.506126
16322.167969	-115.546730
16365.234375	-116.122475
16408.300781	-115.860008
16451.367188	-115.473488
16494.433594	-115.746742
16537.500000	-115.762894
16580.566406	-115.578789
16623.632812	-115.942474
16666.699219	-115.599594
16709.765625	-115.378357
16752.832031	-115.703331
16795.898438	-115.787109
16838.964844	-115.624092
16882.031250	-115.942688
16925.097656	-115.783119
16968.164062	-116.053482
17011.230469	-115.586571
17054.296875	-115.615906
17097.363281	-115.681870
17140.429688	-115.736710
17183.496094	-115.447838
17226.562500	-115.739227
17269.628906	-115.917175
17312.695312	-115.831566
17355.761719	-115.460251
17398.828125	-115.441849
17441.894531	-115.890465
17484.960938	-115.530449
17528.027344	-115.589203
17571.093750	-115.991089
17614.160156	-115.977806
17657.226562	-115.753387
17700.292969	-115.740379
17743.359375	-115.866760
17786.425781	-116.099167
17829.492188	-115.791847
17872.558594	-115.615143
17915.625000	-115.232765
17958.691406	-115.436401
18001.757812	-115.711479
18044.824219	-115.800262
18087.890625	-116.042725
18130.957031	-115.892075
18174.023438	-115.815315
18217.089844	-115.863060
18260.156250	-116.245636
18303.222656	-115.738434
18346.289062	-115.644463
18389.355469	-115.685654
18432.421875	-115.620132
18475.488281	-115.405289
18518.554688	-115.572563
18561.621094	-115.440483
18604.687500	-115.468613
18647.753906	-115.513374
18690.820312	-115.380264
18733.886719	-115.360123
18776.953125	-115.612877
18820.019531	-115.995079
18863.085938	-115.773338
18906.152344	-115.255417
18949.218750	-115.322525
18992.285156	-115.567589
19035.351562	-115.609367
19078.417969	-116.016136
19121.484375	-115.860405
19164.550781	-115.512306
19207.617188	-115.582039
19250.683594	-115.691391
19293.750000	-115.615570
19336.816406	-115.837814
19379.882812	-115.937035
19422.949219	-115.785439
19466.015625	-115.673637
19509.082031	-115.881355
19552.148438	-115.731674
19595.214844	-115.762039
19638.281250	-115.815315
19681.347656	-115.910133
19724.414062	-115.903015
19767.480469	-115.926414
19810.546875	-115.823997
19853.613281	-115.881287
19896.679688	-115.923035
19939.746094	-115.792732
19982.812500	-115.618561
20025.878906	-115.530800
20068.945312	-115.735832
20112.011719	-115.555031
20155.078125	-115.413849
20198.144531	-115.655075
20241.210938	-115.549721
20284.277344	-115.975105
20327.343750	-115.578354
20370.410156	-115.947716
20413.476562	-115.910843
20456.542969	-116.140427
20499.609375	-115.864212
20542.675781	-115.562897
20585.742188	-115.820366
20628.808594	-115.699455
20671.875000	-115.791359
20714.941406	-115.879974
20758.007812	-115.833946
20801.074219	-115.672119
20844.140625	-115.554466
20887.207031	-115.454483
20930.273438	-115.485558
20973.339844	-115.600998
21016.406250	-115.646309
21059.472656	-115.842262
21102.539062	-115.695267
21145.605469	-115.823906
21188.671875	-115.874817
21231.738281	-115.959595
21274.804688	-115.786720
21317.871094	-115.538811
21360.937500	-116.155449
21404.003906	-116.222946
21447.070312	-115.886703
21490.136719	-115.944832
21533.203125	-115.866859
21576.269531	-115.616989
21619.335938	-115.610794
21662.402344	-115.697411
21705.468750	-115.788620
21748.535156	-115.741905
21791.601562	-115.630928
21834.667969	-115.463463
21877.734375	-115.441307
21920.800781	-116.074867
21963.867188	-115.942505
22006.933594	-116.095177
