Frequency (Hz)	Level (dB)
11541.796875	-115.252029
11584.863281	-115.820793
11627.929688	-115.883644
11670.996094	-115.477547
11714.062500	-115.706749
11757.128906	-115.423035
11800.195312	-115.904114
11843.261719	-115.644104
11886.328125	-115.325089
11929.394531	-115.592865
11972.460938	-115.805061
12015.527344	-115.806976
12058.593750	-115.673332
12101.660156	-115.591385
12144.726562	-115.597954
12187.792969	-115.783661
12230.859375	-115.867729
12273.925781	-115.885941
12316.992188	-115.376511
12360.058594	-115.273460
12403.125000	-115.733215
12446.191406	-116.348175
12489.257812	-115.910408
12532.324219	-116.022621
12575.390625	-115.660576
12618.457031	-115.931328
12661.523438	-115.964432
12704.589844	-115.489700
12747.656250	-115.906204
12790.722656	-115.227119
12833.789062	-115.336731
12876.855469	-116.018021
12919.921875	-115.635155
12962.988281	-115.752037
13006.054688	-115.538689
13049.121094	-115.732765
13092.187500	-115.531761
13135.253906	-115.680061
13178.320312	-115.655312
13221.386719	-115.517433
13264.453125	-115.633080
13307.519531	-115.803413
13350.585938	-115.623795
13393.652344	-115.468285
13436.718750	-115.606537
13479.785156	-115.812363
13522.851562	-115.898033
13565.917969	-115.965897
13608.984375	-115.746262
13652.050781	-115.767807
13695.117188	-115.793488
13738.183594	-115.851738
13781.250000	-115.999062
13824.316406	-115.989822
13867.382812	-115.876572
13910.449219	-115.764740
13953.515625	-115.723480
13996.582031	-115.550575
14039.648438	-115.623627
14082.714844	-115.837372
14125.781250	-115.778641
14168.847656	-115.506386
14211.914062	-114.981026
14254.980469	-115.245598
14298.046875	-115.962692
14341.113281	-115.868057
14384.179688	-116.074326
14427.246094	-115.870842
14470.312500	-115.664131
14513.378906	-115.519440
14556.445312	-115.544212
14599.511719	-115.492699
14642.578125	-115.715538
14685.644531	-115.914848
14728.710938	-115.586060
14771.777344	-115.824425
14814.843750	-115.533058
14857.910156	-115.644630
14900.976562	-115.892021
14944.042969	-115.850998
14987.109375	-115.589310
15030.175781	-116.054985
15073.242188	-115.783699
15116.308594	-115.515900
15159.375000	-115.378471
15202.441406	-115.620628
15245.507812	-115.472809
15288.574219	-115.938080
15331.640625	-115.531174
15374.707031	-115.641678
15417.773438	-115.852280
15460.839844	-115.393517
15503.906250	-115.773140
15546.972656	-115.480972
15590.039062	-115.734863
15633.105469	-115.616463
15676.171875	-115.636032
15719.238281	-115.407654
15762.304688	-115.537743
15805.371094	-115.489952
15848.437500	-115.825439
15891.503906	-115.526993
15934.570312	-115.600525
15977.636719	-115.503662
16020.703125	-115.679672
16063.769531	-115.516159
16106.835938	-115.513084
16149.902344	-116.071732
16192.968750	-115.661934
16236.035156	-115.633842
16279.101562	-115.570259
16322.167969	-115.730835
16365.234375	-115.828636
16408.300781	-115.706917
16451.367188	-115.678970
16494.433594	-115.634407
16537.500000	-115.594345
16580.566406	-115.508728
16623.632812	-115.785210
16666.699219	-115.617149
16709.765625	-115.759003
16752.832031	-115.579613
16795.898438	-115.727249
16838.964844	-115.725494
16882.031250	-115.331314
16925.097656	-115.770569
16968.164062	-115.667061
17011.230469	-115.511330
17054.296875	-115.324394
17097.363281	-115.319496
17140.429688	-115.780846
17183.496094	-115.758392
17226.562500	-115.491440
17269.628906	-116.067543
17312.695312	-116.004173
17355.761719	-115.776772
17398.828125	-115.780632
17441.894531	-115.891457
17484.960938	-115.592560
17528.027344	-115.399963
17571.093750	-115.675880
17614.160156	-115.282890
17657.226562	-115.409737
17700.292969	-115.882843
17743.359375	-115.577522
17786.425781	-115.495850
17829.492188	-115.938538
17872.558594	-115.524483
17915.625000	-115.886795
17958.691406	-115.808853
18001.757812	-115.695770
